__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9
1699949141.521726,-0.582612455,0.042840131,0.103142148,0.046476856,-7.625460584,-4.621931200,-0.650414506,-0.069641374,0.518398106,-0.102667517,0.000247491,-0.000492439,0.316260695,0.000786992,-0.001241879,0.000170578,-0.000068445,1.000000000,1.000000000,-0.491574768,0.785289227,2.947516716,12.374539416,-3.119136810,-24.621931200,39.349585494,-0.931408966,0.085289227,-0.102667517,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582493372,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043484962,0.315468188,-3.120371991
1699949141.621856,-0.582612455,0.042840131,0.103142280,0.046474215,-7.632735884,-4.623968100,-0.659785906,-0.076661174,0.518107206,-0.098724717,0.000247345,-0.000492479,0.316260695,0.000786804,-0.001251333,0.000170506,-0.000065816,1.000000000,1.000000000,-0.502414420,0.785252962,2.954369636,12.367264116,-3.119136810,-24.623968100,39.340214094,-0.938500057,0.085252962,-0.098724717,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582493534,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043485972,0.315468410,-3.120381718
1699949141.721792,-0.582612455,0.042840131,0.103141818,0.046477678,-7.634523384,-4.588376300,-0.690167406,-0.064779374,0.518237106,-0.103905417,0.000247310,-0.000491768,0.316260695,0.000786197,-0.001233830,0.000170891,-0.000069270,1.000000000,1.000000000,-0.501439507,0.785445425,2.949903936,12.365476616,-3.119136810,-24.588376300,39.309832594,-0.925372544,0.085445425,-0.103905417,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582493435,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043483435,0.315468968,-3.120363858
1699949141.821716,-0.582612455,0.042840131,0.103141894,0.046476286,-7.637917484,-4.597950700,-0.666823606,-0.070638074,0.518095606,-0.101826217,0.000247242,-0.000491959,0.316260695,0.000786664,-0.001242088,0.000170845,-0.000067884,1.000000000,1.000000000,-0.498295791,0.785422718,2.953340776,12.362082516,-3.119136810,-24.597950700,39.333176394,-0.931566348,0.085422718,-0.101826217,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582493592,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043484486,0.315468532,-3.120372260
1699949141.921858,-0.582612455,0.042840131,0.103141707,0.046475224,-7.641340384,-4.598951400,-0.660621406,-0.076891774,0.518081406,-0.100247917,0.000247173,-0.000491979,0.316260695,0.000786788,-0.001250473,0.000171057,-0.000066832,1.000000000,1.000000000,-0.502103635,0.785528320,2.956288236,12.358659616,-3.119136810,-24.598951400,39.339378594,-0.937855073,0.085528320,-0.100247917,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582493734,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043485372,0.315468437,-3.120380754
1699949142.021693,-0.582612455,0.042840131,0.103141587,0.046476301,-7.631492884,-4.617562100,-0.681496606,-0.055105474,0.518473806,-0.101859017,0.000247370,-0.000492351,0.316260695,0.000786370,-0.001222294,0.000171152,-0.000067906,1.000000000,1.000000000,-0.489318790,0.785576057,2.950738136,12.368507116,-3.119136810,-24.617562100,39.318503394,-0.916720147,0.085576057,-0.101859017,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582493392,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043482829,0.315468780,-3.120352463
1699949142.129670,-0.582612455,0.042840131,0.103142135,0.046476286,-7.638879484,-4.602044400,-0.643003906,-0.082069474,0.517941606,-0.101818917,0.000247222,-0.000492041,0.316260695,0.000787140,-0.001257521,0.000170605,-0.000067879,1.000000000,1.000000000,-0.500342590,0.785302388,2.953732876,12.361120516,-3.119136810,-24.602044400,39.356996094,-0.943141028,0.085302388,-0.101818917,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582493711,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043486174,0.315468094,-3.120387693
1699949142.221934,-0.582612455,0.042840131,0.103142461,0.046474843,-7.630196984,-4.635642300,-0.653920606,-0.063832974,0.518098506,-0.099654917,0.000247396,-0.000492713,0.316260695,0.000786922,-0.001234774,0.000170311,-0.000066437,1.000000000,1.000000000,-0.487648697,0.785155401,2.952423876,12.369803016,-3.119136810,-24.635642300,39.346079394,-0.926080454,0.085155401,-0.099654917,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582493410,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043484497,0.315468255,-3.120365094
1699949142.339930,-0.582612455,0.042840131,0.103141218,0.046476242,-7.641439784,-4.612586000,-0.669532306,-0.068563674,0.518311006,-0.101783117,0.000247171,-0.000492252,0.316260695,0.000786609,-0.001240006,0.000171523,-0.000067855,1.000000000,1.000000000,-0.497817106,0.785761399,2.954792796,12.358560216,-3.119136810,-24.612586000,39.330467694,-0.930004184,0.085761399,-0.101783117,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582493730,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043484556,0.315468603,-3.120370181
1699949142.441129,-0.582612455,0.042840131,0.103142328,0.046474490,-7.633283384,-4.618721500,-0.694489506,-0.079181374,0.518061006,-0.099133317,0.000247334,-0.000492374,0.316260695,0.000786110,-0.001254449,0.000170452,-0.000066089,1.000000000,1.000000000,-0.518632429,0.785225925,2.954180036,12.366716616,-3.119136810,-24.618721500,39.305510494,-0.940836626,0.085225925,-0.099133317,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582493477,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043486177,0.315469105,-3.120384805
