__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9
1699950096.247104,-0.582612455,0.042840131,0.103121079,0.046480675,-7.581360384,-4.728811100,-0.857900906,-0.089029374,0.530431006,-0.109075317,0.000248373,-0.000494576,0.316260695,0.000782842,-0.001272717,0.000191557,-0.000072717,1.000000000,1.000000000,-0.597698125,0.795778620,2.923468836,12.418639616,-3.119136810,-24.728811100,39.142099094,-0.954537762,0.095778620,-0.109075317,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582494459,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043490155,0.315472562,-3.120402435
1699950096.347328,-0.582612455,0.042840131,0.103122722,0.046476281,-7.559594484,-4.742295300,-0.865134406,-0.086683574,0.530420806,-0.102465317,0.000248808,-0.000494846,0.316260695,0.000782697,-0.001270219,0.000190013,-0.000068310,1.000000000,1.000000000,-0.598717672,0.795006613,2.921372476,12.440405516,-3.119136810,-24.742295300,39.134865594,-0.952663909,0.095006613,-0.102465317,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582493853,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043490191,0.315472645,-3.120400390
1699950096.447240,-0.582612455,0.042840131,0.103122562,0.046473918,-7.566883784,-4.753000700,-0.873033706,-0.093177474,0.530271606,-0.098946017,0.000248662,-0.000495060,0.316260695,0.000782539,-0.001279377,0.000190225,-0.000065964,1.000000000,1.000000000,-0.608745981,0.795112539,2.927807496,12.433116216,-3.119136810,-24.753000700,39.126966294,-0.959532498,0.095112539,-0.098946017,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582494054,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043491342,0.315472844,-3.120409792
1699950096.547059,-0.582612455,0.042840131,0.103120363,0.046478788,-7.599832384,-4.741730900,-0.877608706,-0.086623274,0.530163406,-0.106284617,0.000248003,-0.000494835,0.316260695,0.000782448,-0.001270112,0.000192315,-0.000070856,1.000000000,1.000000000,-0.603627338,0.796157540,2.933648336,12.400167616,-3.119136810,-24.741730900,39.122391294,-0.952583855,0.096157540,-0.106284617,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582494863,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043490116,0.315473001,-3.120400025
1699950096.647269,-0.582612455,0.042840131,0.103121656,0.046475038,-7.577406784,-4.762280600,-0.833069906,-0.086438774,0.530344106,-0.100646917,0.000248452,-0.000495246,0.316260695,0.000783339,-0.001270825,0.000191107,-0.000067098,1.000000000,1.000000000,-0.586346557,0.795553344,2.930315796,12.422593216,-3.119136810,-24.762280600,39.166930094,-0.953118595,0.095553344,-0.100646917,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582494406,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043490643,0.315472066,-3.120401125
1699950096.747245,-0.582612455,0.042840131,0.103122233,0.046476317,-7.573138284,-4.729582900,-0.857211406,-0.098835674,0.530190506,-0.102534517,0.000248537,-0.000494592,0.316260695,0.000782856,-0.001285828,0.000190501,-0.000068356,1.000000000,1.000000000,-0.607255638,0.795250346,2.926720796,12.426861716,-3.119136810,-24.729582900,39.142788594,-0.964371075,0.095250346,-0.102534517,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582494249,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043491540,0.315472549,-3.120415996
1699950096.847019,-0.582612455,0.042840131,0.103121560,0.046475804,-7.571844784,-4.750688600,-0.846912706,-0.074660774,0.530578106,-0.101792517,0.000248563,-0.000495014,0.316260695,0.000783062,-0.001254580,0.000191185,-0.000067862,1.000000000,1.000000000,-0.579699957,0.795592674,2.926945396,12.428155216,-3.119136810,-24.750688600,39.153087294,-0.940934875,0.095592674,-0.101792517,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582494190,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043488730,0.315472290,-3.120384801
1699950096.956798,-0.582612455,0.042840131,0.103122107,0.046477021,-7.570208184,-4.743865400,-0.870442306,-0.088584574,0.530348106,-0.103589617,0.000248596,-0.000494877,0.316260695,0.000782591,-0.001272826,0.000190611,-0.000069060,1.000000000,1.000000000,-0.602796785,0.795305393,2.924493656,12.429791816,-3.119136810,-24.743865400,39.129557694,-0.954619863,0.095305393,-0.103589617,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582494127,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043490478,0.315472786,-3.120402922
1699950097.047008,-0.582612455,0.042840131,0.103123004,0.046476044,-7.551975084,-4.749182600,-0.857641506,-0.081973574,0.530548806,-0.102101417,0.000248960,-0.000494984,0.316260695,0.000782847,-0.001264260,0.000189736,-0.000068068,1.000000000,1.000000000,-0.591251567,0.794867934,2.918688616,12.448024916,-3.119136810,-24.749182600,39.142358494,-0.948194965,0.094867934,-0.102101417,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582493667,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043489723,0.315472468,-3.120394456
1699950097.147027,-0.582612455,0.042840131,0.103121829,0.046477888,-7.573203584,-4.711318100,-0.870479606,-0.093966074,0.530372506,-0.104892517,0.000248536,-0.000494226,0.316260695,0.000782590,-0.001278483,0.000190869,-0.000069928,1.000000000,1.000000000,-0.607054050,0.795434632,2.924388916,12.426796416,-3.119136810,-24.711318100,39.129520394,-0.958862207,0.095434632,-0.104892517,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582494211,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043490409,0.315472793,-3.120408489
