__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9,/robotiq_ft_wrench/header/seq,/robotiq_ft_wrench/header/stamp,/robotiq_ft_wrench/wrench/force/x,/robotiq_ft_wrench/wrench/force/y,/robotiq_ft_wrench/wrench/force/z,/robotiq_ft_wrench/wrench/torque/x,/robotiq_ft_wrench/wrench/torque/y,/robotiq_ft_wrench/wrench/torque/z
1701092925.745445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138872.000000000,1701092925.745349169,1.980000019,17.969999313,96.910003662,0.485000014,-0.479000002,0.001000000
1701092925.761847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138873.000000000,1701092925.761606216,2.039999962,17.899999619,96.889999390,0.481999993,-0.479999989,0.000000000
1701092925.778114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138874.000000000,1701092925.777879953,2.109999895,17.930000305,96.940002441,0.481000006,-0.481999993,0.000000000
1701092925.794362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138875.000000000,1701092925.794122934,2.069999933,17.969999313,96.980003357,0.483000010,-0.481000006,0.002000000
1701092925.796898,-0.699445069,0.007527950,-0.018286590,0.002155711,3.990124437,3.311728158,-5.867390399,0.028816224,-0.066726725,0.089780739,0.000479802,-0.000333765,0.165945441,0.000682652,-0.000795992,-0.001932713,0.000059854,1.000000000,1.000000000,-2.202229450,-0.206381080,-1.506269036,23.990124437,3.128861666,-16.688271842,34.132609601,-0.596993970,-0.966356392,0.089780739,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.015864268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.787732840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,32764.000000000,-0.698747483,-524315568.000000000,32764.000000000,0.000000000,0.000000000,0.007949214,0.165277471,-3.140170594,,,,,,,,
1701092925.810665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138876.000000000,1701092925.810381651,2.109999895,17.860000610,96.930000305,0.485000014,-0.483000010,0.003000000
1701092925.826932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138877.000000000,1701092925.826652527,2.039999962,17.899999619,96.900001526,0.483999997,-0.479999989,0.002000000
1701092925.843048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138878.000000000,1701092925.842903137,2.029999971,17.959999084,96.870002747,0.481000006,-0.481000006,0.000000000
1701092925.859217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138879.000000000,1701092925.859122753,2.029999971,17.989999771,96.919998169,0.483000010,-0.479999989,0.000000000
1701092925.875597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138880.000000000,1701092925.875357628,2.059999943,17.909999847,96.900001526,0.486999989,-0.481000006,0.000000000
1701092925.891997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138881.000000000,1701092925.891726971,2.109999895,17.860000610,96.910003662,0.481999993,-0.483000010,0.000000000
1701092925.896412,-0.699445069,0.007527950,-0.018285778,0.002155879,3.991624436,3.324727979,-5.869390063,0.029116223,-0.067076728,0.089530739,0.000479832,-0.000333505,0.165945441,0.000682612,-0.000794942,-0.001933525,0.000059687,1.000000000,1.000000000,-2.202274323,-0.206783583,-1.507119036,23.991624436,3.128861666,-16.675272021,34.130609937,-0.596206478,-0.966762644,0.089530739,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.015864268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.787732840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,32764.000000000,-0.698747366,-524315568.000000000,32764.000000000,0.000000000,0.000000000,0.007948843,0.165277513,-3.140169547,,,,,,,,
1701092925.908278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138882.000000000,1701092925.908171892,2.130000114,17.829999924,96.889999390,0.479000002,-0.483000010,0.000000000
1701092925.924805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138883.000000000,1701092925.924567938,2.059999943,17.860000610,96.930000305,0.483999997,-0.481999993,0.004000000
1701092925.941179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138884.000000000,1701092925.940966606,2.059999943,17.889999390,96.930000305,0.486000001,-0.481999993,0.002000000
1701092925.953339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138885.000000000,1701092925.953291178,2.049999952,17.920000076,96.910003662,0.481999993,-0.481999993,0.000000000
1701092925.969923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138886.000000000,1701092925.969749451,2.019999981,17.930000305,96.959999084,0.481000006,-0.479000002,0.003000000
1701092925.986528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138887.000000000,1701092925.986292839,2.059999943,17.889999390,96.959999084,0.485000014,-0.483000010,0.004000000
1701092925.996693,-0.699445069,0.007527950,-0.018285002,0.002155681,3.992624435,3.328228059,-5.862390094,0.029366223,-0.067426728,0.089830739,0.000479852,-0.000333435,0.165945441,0.000682752,-0.000794434,-0.001934300,0.000059887,1.000000000,1.000000000,-2.199101833,-0.207168583,-1.507219035,23.992624435,3.128861666,-16.671771941,34.137609906,-0.595825225,-0.967150144,0.089830739,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.015864268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.787732840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,32764.000000000,-0.698747261,-524315568.000000000,32764.000000000,0.000000000,0.000000000,0.007948719,0.165277375,-3.140169035,,,,,,,,
1701092926.002644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138888.000000000,1701092926.002600670,2.049999952,17.909999847,96.910003662,0.488999993,-0.477999985,0.001000000
1701092926.018982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138889.000000000,1701092926.018855810,2.109999895,17.940000534,96.910003662,0.483000010,-0.485000014,-0.001000000
1701092926.035361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138890.000000000,1701092926.035142660,2.059999943,17.909999847,96.949996948,0.476999998,-0.479999989,-0.001000000
1701092926.051451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138891.000000000,1701092926.051375628,2.049999952,17.920000076,96.949996948,0.488000005,-0.479999989,0.003000000
