__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9,/robotiq_ft_wrench/header/seq,/robotiq_ft_wrench/header/stamp,/robotiq_ft_wrench/wrench/force/x,/robotiq_ft_wrench/wrench/force/y,/robotiq_ft_wrench/wrench/force/z,/robotiq_ft_wrench/wrench/torque/x,/robotiq_ft_wrench/wrench/torque/y,/robotiq_ft_wrench/wrench/torque/z
1701093136.088631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152012.000000000,1701093136.088473320,-3.039999962,15.369999886,96.889999390,0.504999995,-0.428000003,-0.250999987
1701093136.104861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152013.000000000,1701093136.104753494,-3.099999905,15.369999886,96.900001526,0.500000000,-0.425999999,-0.250999987
1701093136.121150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152014.000000000,1701093136.121077538,-3.069999933,15.340000153,96.889999390,0.500000000,-0.426999986,-0.250999987
1701093136.137436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152015.000000000,1701093136.137342691,-3.019999981,15.380000114,96.940002441,0.505999982,-0.425999999,-0.248999998
1701093136.153796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152016.000000000,1701093136.153592348,-3.049999952,15.369999886,96.930000305,0.504999995,-0.426999986,-0.250999987
1701093136.166012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152017.000000000,1701093136.165805578,-3.140000105,15.489999771,96.870002747,0.501999974,-0.425999999,-0.250999987
1701093136.182383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152018.000000000,1701093136.182170868,-3.069999933,15.420000076,96.879997253,0.504000008,-0.426999986,-0.250999987
1701093136.197214,-0.699445069,0.007527950,-0.018779173,0.002322548,-1.143375483,0.825728097,-5.889890628,0.049316218,-0.013126721,-0.162069254,0.000377132,-0.000383485,0.165945441,0.000682202,-0.000892959,-0.001440500,-0.000108046,1.000000000,1.000000000,-2.277739550,0.026891421,0.295280939,18.856624517,3.128861666,-19.174271903,34.110109372,-0.669718979,-0.720250140,-0.162069254,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.015864268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.787732840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,32764.000000000,-0.698902506,-524315568.000000000,32764.000000000,0.000000000,0.000000000,0.008008907,0.165275002,-3.140270936,,,,,,,,
1701093136.198699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152019.000000000,1701093136.198485613,-3.099999905,15.399999619,96.879997253,0.505999982,-0.425000012,-0.248999998
1701093136.215091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152020.000000000,1701093136.214841366,-3.039999962,15.470000267,96.919998169,0.504000008,-0.426999986,-0.248999998
