__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9,/robotiq_ft_wrench/header/seq,/robotiq_ft_wrench/header/stamp,/robotiq_ft_wrench/wrench/force/x,/robotiq_ft_wrench/wrench/force/y,/robotiq_ft_wrench/wrench/force/z,/robotiq_ft_wrench/wrench/torque/x,/robotiq_ft_wrench/wrench/torque/y,/robotiq_ft_wrench/wrench/torque/z
1701093187.250303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155208.000000000,1701093187.250147820,-4.369999886,14.989999771,96.650001526,0.469000012,-0.384000003,-0.174999997
1701093187.262381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155209.000000000,1701093187.262336493,-4.340000153,15.029999733,96.669998169,0.467999995,-0.384999990,-0.173999995
1701093187.278669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155210.000000000,1701093187.278570175,-4.340000153,15.060000420,96.660003662,0.467000008,-0.384999990,-0.174999997
1701093187.295077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155211.000000000,1701093187.294901371,-4.360000134,15.010000229,96.669998169,0.467000008,-0.384999990,-0.174999997
1701093187.305439,-0.699445069,0.007527950,-0.018967710,0.002271354,-2.493375519,0.459728208,-6.144390444,0.014416220,0.030573274,-0.085919259,0.000350132,-0.000390805,0.165945441,0.000677112,-0.000957792,-0.001251850,-0.000057280,1.000000000,1.000000000,-2.427249470,0.117841417,0.911430949,17.506624481,3.128861666,-19.540271792,33.855609556,-0.718343972,-0.625925144,-0.085919259,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.015864268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.787732840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,32764.000000000,-0.698949643,-524315568.000000000,32764.000000000,0.000000000,0.000000000,0.008022981,0.165279192,-3.140334735,,,,,,,,
1701093187.311246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155212.000000000,1701093187.311180830,-4.369999886,15.000000000,96.650001526,0.467999995,-0.384000003,-0.174999997
1701093187.327465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155213.000000000,1701093187.327418327,-4.420000076,15.079999924,96.639999390,0.467999995,-0.384000003,-0.173999995
1701093187.343767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155214.000000000,1701093187.343669653,-4.420000076,14.979999542,96.599998474,0.465999991,-0.382999986,-0.173999995
1701093187.360063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155215.000000000,1701093187.359938860,-4.449999809,14.970000267,96.650001526,0.467999995,-0.382999986,-0.173999995
1701093187.376274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155216.000000000,1701093187.376197577,-4.460000038,14.939999580,96.720001221,0.469000012,-0.381000012,-0.173999995
1701093187.392606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155217.000000000,1701093187.392477274,-4.369999886,15.020000458,96.660003662,0.467999995,-0.384000003,-0.173999995
1701093187.397580,-0.699445069,0.007527950,-0.018966073,0.002271358,-2.480875495,0.441728177,-6.135890155,0.014166219,0.030223272,-0.085919258,0.000350382,-0.000391165,0.165945441,0.000677282,-0.000959025,-0.001253488,-0.000057280,1.000000000,1.000000000,-2.424729357,0.117053915,0.906430940,17.519124505,3.128861666,-19.558271823,33.864109845,-0.719268975,-0.626743897,-0.085919258,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.015864268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.787732840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,32764.000000000,-0.698949217,-524315568.000000000,32764.000000000,0.000000000,0.000000000,0.008023474,0.165279032,-3.140335968,,,,,,,,
1701093187.409008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155218.000000000,1701093187.408769369,-4.360000134,15.069999695,96.599998474,0.467999995,-0.384000003,-0.175999999
1701093187.425090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155219.000000000,1701093187.425010204,-4.480000019,15.039999962,96.599998474,0.469999999,-0.381000012,-0.172999993
1701093187.441373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155220.000000000,1701093187.441246748,-4.480000019,14.949999809,96.610000610,0.469000012,-0.379999995,-0.172999993
1701093187.457633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155221.000000000,1701093187.457509279,-4.400000095,14.989999771,96.760002136,0.467000008,-0.384000003,-0.172000006
1701093187.473995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155222.000000000,1701093187.473773718,-4.389999866,15.010000229,96.699996948,0.465999991,-0.384000003,-0.175999999
1701093187.490292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155223.000000000,1701093187.490049362,-4.400000095,15.109999657,96.610000610,0.470999986,-0.384000003,-0.174999997
