__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9,/robotiq_ft_wrench/header/seq,/robotiq_ft_wrench/header/stamp,/robotiq_ft_wrench/wrench/force/x,/robotiq_ft_wrench/wrench/force/y,/robotiq_ft_wrench/wrench/force/z,/robotiq_ft_wrench/wrench/torque/x,/robotiq_ft_wrench/wrench/torque/y,/robotiq_ft_wrench/wrench/torque/z
1701093325.860742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163867.000000000,1701093325.860380173,0.000000000,14.760000229,94.660003662,0.238000005,-0.446999997,-0.138999999
1701093325.877024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163868.000000000,1701093325.876670361,0.010000000,14.670000076,94.699996948,0.232999995,-0.446999997,-0.137999997
1701093325.893281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163869.000000000,1701093325.892941952,0.000000000,14.699999809,94.750000000,0.231999993,-0.448000014,-0.136999995
1701093325.909518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163870.000000000,1701093325.909253359,0.020000000,14.779999733,94.730003357,0.236000001,-0.446999997,-0.141000003
1701093325.925871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163871.000000000,1701093325.925525188,0.020000000,14.760000229,94.760002136,0.236000001,-0.448000014,-0.138999999
1701093325.942059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163872.000000000,1701093325.941785336,0.010000000,14.779999733,94.720001221,0.234999999,-0.446999997,-0.138999999
1701093325.958269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163873.000000000,1701093325.958021164,0.010000000,14.850000381,94.699996948,0.236000001,-0.448000014,-0.138999999
1701093325.974596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163874.000000000,1701093325.974277020,0.070000000,14.840000153,94.730003357,0.237000003,-0.449999988,-0.140000001
1701093325.990803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163875.000000000,1701093325.990545988,0.020000000,14.779999733,94.720001221,0.238000005,-0.448000014,-0.141000003
1701093325.997559,-0.699445069,0.007527950,-0.018507134,0.002248738,1.937624477,0.213728252,-8.073889880,-0.217933780,-0.033526734,-0.050469260,0.000438752,-0.000395725,0.165945441,0.000638522,-0.001279892,-0.001712375,-0.000033646,1.000000000,1.000000000,-3.440009243,-0.101343591,-0.825519051,21.937624477,3.128861666,-19.786271748,31.926110120,-0.959918971,-0.856187652,-0.050469260,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.015864268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.787732840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,32764.000000000,-0.698813054,-524315568.000000000,32764.000000000,0.000000000,0.000000000,0.008062291,0.165320530,-3.140656376,,,,,,,,
