__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9
1699962293.673001,-0.627331853,0.006033774,-0.001996744,1.638647767,-7.881266664,-0.744134024,-7.939102709,0.246198693,0.338868062,-0.144694207,0.000242375,-0.000414883,0.441609025,0.000641218,-0.000639795,-0.000170575,-0.000096463,1.000000000,1.000000000,-2.955487081,0.614712395,3.007812459,12.118733336,3.062608719,-20.744134024,32.060897291,-0.479845998,-0.085287605,-0.144694207,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002174398,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.638565063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.627777649,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.006265631,0.440932386,3.061968743
1699962293.772992,-0.627331853,0.006033774,-0.002018235,1.638651840,-7.897794664,-0.735118624,-7.935681609,0.245896793,0.349162662,-0.148241407,0.000242044,-0.000414702,0.441609025,0.000641286,-0.000639776,-0.000148829,-0.000098828,1.000000000,1.000000000,-2.954105002,0.625585475,3.010876459,12.102205336,3.062608719,-20.735118624,32.064318391,-0.479832359,-0.074414525,-0.148241407,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002174398,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.638565063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.627777287,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.006263066,0.440932326,3.061968753
1699962293.873108,-0.627331853,0.006033774,-0.001998606,1.638648351,-7.877754964,-0.729797624,-7.944699209,0.246129793,0.339942262,-0.145347107,0.000242445,-0.000414596,0.441609025,0.000641106,-0.000639217,-0.000168673,-0.000096898,1.000000000,1.000000000,-2.957292807,0.615663686,3.005754879,12.122245036,3.062608719,-20.729797624,32.055300791,-0.479413124,-0.084336314,-0.145347107,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002174398,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.638565063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.627777304,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.006265526,0.440932524,3.061969319
1699962293.973048,-0.627331853,0.006033774,-0.002011488,1.638650851,-7.890691964,-0.735378724,-7.944896009,0.245975793,0.346009062,-0.147561307,0.000242186,-0.000414708,0.441609025,0.000641102,-0.000639683,-0.000155633,-0.000098374,1.000000000,1.000000000,-2.957720866,0.622183281,3.008715479,12.109308036,3.062608719,-20.735378724,32.055103991,-0.479762462,-0.077816719,-0.147561307,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002174398,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.638565063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.627777354,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.006263910,0.440932512,3.061968848
1699962294.073143,-0.627331853,0.006033774,-0.002007283,1.638647247,-7.856794764,-0.738585024,-7.938378809,0.246076193,0.344957462,-0.142669207,0.000242864,-0.000414772,0.441609025,0.000641232,-0.000639699,-0.000160109,-0.000095113,1.000000000,1.000000000,-2.955125806,0.619945279,3.000048699,12.143205236,3.062608719,-20.738585024,32.061621191,-0.479774283,-0.080054721,-0.142669207,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002174398,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.638565063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.627777487,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.006265045,0.440932380,3.061968840
1699962294.173074,-0.627331853,0.006033774,-0.002000938,1.638652326,-7.928440764,-0.746076824,-7.937021909,0.246084693,0.339487462,-0.151015007,0.000241431,-0.000414922,0.441609025,0.000641260,-0.000640037,-0.000166034,-0.000100677,1.000000000,1.000000000,-2.954836759,0.616982889,3.020361299,12.071559236,3.062608719,-20.746076824,32.062978091,-0.480027996,-0.083017111,-0.151015007,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002174398,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.638565063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.627777613,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.006264216,0.440932336,3.061968491
1699962294.273263,-0.627331853,0.006033774,-0.002030493,1.638659079,-7.938801264,-0.746585324,-7.885664409,0.245886393,0.354122462,-0.157614407,0.000241224,-0.000414932,0.441609025,0.000642287,-0.000640325,-0.000136039,-0.000105076,1.000000000,1.000000000,-2.934509857,0.631980506,3.017906099,12.061198736,3.062608719,-20.746585324,32.114335591,-0.480244093,-0.068019494,-0.157614407,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002174398,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.638565063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.627777348,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.006260913,0.440931302,3.061968189
1699962294.373025,-0.627331853,0.006033774,-0.001981495,1.638638122,-7.726851064,-0.770963624,-7.922444109,0.246415493,0.336291762,-0.132076507,0.000245463,-0.000415419,0.441609025,0.000641551,-0.000640758,-0.000186537,-0.000088051,1.000000000,1.000000000,-2.949545877,0.606731549,2.958663919,12.273148936,3.062608719,-20.770963624,32.077555891,-0.480568234,-0.093268451,-0.132076507,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002174398,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.638565063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.627778577,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.006270322,0.440932013,3.061967801
1699962294.473212,-0.627331853,0.006033774,-0.001997661,1.638647638,-7.848572164,-0.726024424,-7.875711209,0.245945793,0.340464562,-0.144392607,0.000243029,-0.000414520,0.441609025,0.000642486,-0.000639287,-0.000169671,-0.000096262,1.000000000,1.000000000,-2.929749545,0.615164588,2.995036259,12.151427836,3.062608719,-20.726024424,32.124288791,-0.479465062,-0.084835412,-0.144392607,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002174398,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.638565063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.627777174,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.006266227,0.440931156,3.061969252
1699962294.573523,-0.627331853,0.006033774,-0.002018982,1.638651031,-7.885327564,-0.742664024,-8.002781409,0.245975993,0.349938962,-0.146942807,0.000242293,-0.000414853,0.441609025,0.000639944,-0.000640023,-0.000148149,-0.000097962,1.000000000,1.000000000,-2.981129811,0.625925427,3.007188219,12.114672436,3.062608719,-20.742664024,31.997218591,-0.480017248,-0.074074573,-0.146942807,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002174398,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.638565063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.627777580,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.006263222,0.440933651,3.061968508
