__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9
1699950300.971377,-0.582612455,0.042840131,0.103203763,0.046475325,-7.476807084,-4.618666000,-1.193240106,-0.108406374,0.492818706,-0.098308017,0.000250464,-0.000492373,0.316260695,0.000776135,-0.001293413,0.000109014,-0.000065539,1.000000000,1.000000000,-0.747355726,0.754506954,2.892414816,12.523192916,-3.119136810,-24.618666000,38.806759894,-0.970059684,0.054506954,-0.098308017,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582483184,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043490470,0.315478131,-3.120423683
1699950301.071409,-0.582612455,0.042840131,0.103205610,0.046473888,-7.413495984,-4.667890000,-1.134183806,-0.063941374,0.494127106,-0.096102417,0.000251730,-0.000493358,0.316260695,0.000777316,-0.001236423,0.000107199,-0.000064068,1.000000000,1.000000000,-0.680991046,0.753599466,2.869295976,12.586504016,-3.119136810,-24.667890000,38.865816194,-0.927317524,0.053599466,-0.096102417,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582481644,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043485644,0.315476704,-3.120366842
1699950301.171644,-0.582612455,0.042840131,0.103205079,0.046482345,-7.439864484,-4.578144200,-1.132163306,-0.104296374,0.493375506,-0.108734817,0.000251203,-0.000491563,0.316260695,0.000777357,-0.001286042,0.000107542,-0.000072490,1.000000000,1.000000000,-0.717396743,0.753770763,2.867210976,12.560135516,-3.119136810,-24.578144200,38.867836694,-0.964531421,0.053770763,-0.108734817,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582482357,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043488960,0.315476791,-3.120415588
1699950301.271371,-0.582612455,0.042840131,0.103204316,0.046475975,-7.428867584,-4.653953300,-1.134496306,-0.051402874,0.494212606,-0.099259317,0.000251423,-0.000493079,0.316260695,0.000777310,-0.001219055,0.000108446,-0.000066173,1.000000000,1.000000000,-0.668089762,0.754222972,2.872287716,12.571132416,-3.119136810,-24.653953300,38.865503694,-0.914291239,0.054222972,-0.099259317,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582481985,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043483548,0.315476711,-3.120349258
1699950301.371835,-0.582612455,0.042840131,0.103206633,0.046475922,-7.423757684,-4.610775900,-1.118839706,-0.110984074,0.493233906,-0.099101717,0.000251525,-0.000492216,0.316260695,0.000777623,-0.001296482,0.000106131,-0.000066068,1.000000000,1.000000000,-0.719897113,0.753065425,2.870401356,12.576242316,-3.119136810,-24.610775900,38.881160294,-0.972361230,0.053065425,-0.099101717,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582481995,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043490719,0.315476515,-3.120426691
1699950301.469597,-0.582612455,0.042840131,0.103206209,0.046477423,-7.392407984,-4.638667700,-1.112769806,-0.050760774,0.494526506,-0.101355117,0.000252152,-0.000492773,0.316260695,0.000777745,-0.001217486,0.000106522,-0.000067570,1.000000000,1.000000000,-0.658222066,0.753260786,2.855608076,12.607592016,-3.119136810,-24.638667700,38.887230194,-0.913114143,0.053260786,-0.101355117,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582481087,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043483131,0.315476173,-3.120347540
1699950301.587925,-0.582612455,0.042840131,0.103205007,0.046471058,-7.422984184,-4.689793300,-1.131921906,-0.058940874,0.494128406,-0.091901117,0.000251540,-0.000493796,0.316260695,0.000777362,-0.001230778,0.000107866,-0.000061267,1.000000000,1.000000000,-0.675852402,0.753932853,2.877292556,12.577015816,-3.119136810,-24.689793300,38.868078094,-0.923083639,0.053932853,-0.091901117,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582481899,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043485487,0.315476683,-3.120361489
1699950301.670291,-0.582612455,0.042840131,0.103208454,0.046482529,-7.365553284,-4.583061600,-1.024828906,-0.077721474,0.494287106,-0.108895617,0.000252689,-0.000491661,0.316260695,0.000779503,-0.001250838,0.000104163,-0.000072597,1.000000000,1.000000000,-0.648060192,0.752081471,2.837325696,12.634446716,-3.119136810,-24.583061600,38.975171094,-0.938128630,0.052081471,-0.108895617,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582480598,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043485539,0.315474392,-3.120380366
1699950301.771369,-0.582612455,0.042840131,0.103205154,0.046466198,-7.437895284,-4.698768400,-1.147319306,-0.087015274,0.493587106,-0.084646917,0.000251242,-0.000493975,0.316260695,0.000777054,-0.001268630,0.000107827,-0.000056431,1.000000000,1.000000000,-0.710399890,0.753913441,2.890511196,12.562104716,-3.119136810,-24.698768400,38.852680694,-0.951472168,0.053913441,-0.084646917,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582482340,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043489564,0.315477107,-3.120399841
1699950301.871389,-0.582612455,0.042840131,0.103204409,0.046485990,-7.442621484,-4.534298800,-1.137023106,-0.091249574,0.493573206,-0.114194817,0.000251148,-0.000490686,0.316260695,0.000777260,-0.001266600,0.000108130,-0.000076130,1.000000000,1.000000000,-0.704759274,0.754064958,2.862853776,12.557378516,-3.119136810,-24.534298800,38.862976894,-0.949950032,0.054064958,-0.114194817,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582482335,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043486066,0.315476837,-3.120395771
1699950301.971461,-0.582612455,0.042840131,0.103204683,0.046477230,-7.418318584,-4.658752800,-1.121112006,-0.043469874,0.494384506,-0.101118417,0.000251634,-0.000493175,0.316260695,0.000777578,-0.001208702,0.000108051,-0.000067412,1.000000000,1.000000000,-0.654971024,0.754025657,2.866209016,12.581681416,-3.119136810,-24.658752800,38.878887994,-0.906526222,0.054025657,-0.101118417,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582481720,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043482589,0.315476399,-3.120338776
1699950302.106473,-0.582612455,0.042840131,0.103204282,0.046481145,-7.417993084,-4.636989300,-1.133586806,-0.031472174,0.494552406,-0.106971717,0.000251640,-0.000492740,0.316260695,0.000777328,-0.001191689,0.000108364,-0.000071314,1.000000000,1.000000000,-0.647201522,0.754182164,2.860225516,12.582006916,-3.119136810,-24.636989300,38.866413194,-0.893766799,0.054182164,-0.106971717,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582481623,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043480388,0.315476602,-3.120321359
1699950302.169480,-0.582612455,0.042840131,0.103204074,0.046479140,-7.424354084,-4.647746900,-1.138405606,-0.036097074,0.494456206,-0.103989117,0.000251513,-0.000492955,0.316260695,0.000777232,-0.001198358,0.000108617,-0.000069326,1.000000000,1.000000000,-0.654130458,0.754308599,2.865752516,12.575645916,-3.119136810,-24.647746900,38.861594394,-0.898768215,0.054308599,-0.103989117,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582481805,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043481285,0.315476734,-3.120328235
1699950302.271594,-0.582612455,0.042840131,0.103205677,0.046479871,-7.435561784,-4.589621500,-1.146088206,-0.105281374,0.493254406,-0.105025617,0.000251289,-0.000491792,0.316260695,0.000777078,-0.001287891,0.000106998,-0.000070017,1.000000000,1.000000000,-0.724353409,0.753499069,2.869199096,12.564438216,-3.119136810,-24.589621500,38.853911794,-0.965918126,0.053499069,-0.105025617,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.103314221,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.046411913,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,91.000000000,-0.582482205,2.000000000,0.000000000,-145423672.000000000,32767.000000000,0.043489383,0.315477062,-3.120417692
