__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9,/robotiq_ft_wrench/header/seq,/robotiq_ft_wrench/header/stamp,/robotiq_ft_wrench/wrench/force/x,/robotiq_ft_wrench/wrench/force/y,/robotiq_ft_wrench/wrench/force/z,/robotiq_ft_wrench/wrench/torque/x,/robotiq_ft_wrench/wrench/torque/y,/robotiq_ft_wrench/wrench/torque/z
1705305321.881871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11823.000000000,1705305321.881606817,-8.729999542,-14.229999542,161.229995728,3.562000036,-0.470999986,1.458999991
1705305321.897945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11824.000000000,1705305321.897849083,-8.800000191,-14.279999733,161.220001221,3.561000109,-0.472000003,1.447000027
1705305321.914220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11825.000000000,1705305321.914103031,-8.760000229,-14.289999962,161.190002441,3.559999943,-0.474999994,1.434999943
1705305321.930624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11826.000000000,1705305321.930400610,-8.850000381,-14.449999809,161.210006714,3.555000067,-0.472999990,1.429999948
1705305321.946754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11827.000000000,1705305321.946673393,-8.840000153,-14.800000191,161.309997559,3.558000088,-0.477999985,1.412999988
1705305321.956461,2.000000000,1.000000000,-0.343429355,0.186151137,0.420828307,22.912246728,-5.178234839,3.377671158,0.223007902,0.870363903,0.000000000,0.000746111,-0.677242637,-0.000046858,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.912246728,-0.178234839,0.000000000,0.059127387,0.000000000,0.000000000,0.000000000,-0.000721955,0.000091990,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243245736,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000818306,-0.677239336,-0.000056058,0.000000000,0.000000000,0.000000000,0.059057743,0.243272711,2.811045668,,,,,,,,
1705305321.963087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11828.000000000,1705305321.962940454,-8.819999695,-15.039999962,161.259994507,3.553999901,-0.477999985,1.396999955
1705305321.979397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11829.000000000,1705305321.979222775,-8.869999886,-15.180000305,161.190002441,3.546999931,-0.479000002,1.386999965
1705305321.995578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11830.000000000,1705305321.995487690,-8.899999619,-15.239999771,161.309997559,3.545000076,-0.479999989,1.376000047
1705305322.011768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11831.000000000,1705305322.011717796,-8.970000267,-15.159999847,161.330001831,3.549000025,-0.479999989,1.368000031
1705305322.028034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11832.000000000,1705305322.027949810,-9.029999733,-15.260000229,161.240005493,3.542000055,-0.477999985,1.355999947
1705305322.044437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11833.000000000,1705305322.044243813,-8.960000038,-15.590000153,161.300003052,3.539000034,-0.483000010,1.340999961
1705305322.046603,2.000000000,1.000000000,-0.343429355,0.186151137,0.231828320,22.309746671,-5.132733893,3.368071162,0.216507904,0.782163906,0.000000000,0.000611171,-0.677242577,-0.000035918,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,2.309746671,-0.132733893,0.000000000,0.059126370,0.000000000,0.000000000,0.000000000,-0.001349391,0.000109400,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243246123,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000746111,-0.677239782,-0.000046858,0.000000000,0.000000000,0.000000000,0.059069258,0.243268000,2.811045668,,,,,,,,
1705305322.060650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11834.000000000,1705305322.060508490,-8.979999542,-15.640000343,161.289993286,3.542000055,-0.479000002,1.338999987
1705305322.076897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11835.000000000,1705305322.076779604,-9.020000458,-15.880000114,161.320007324,3.532999992,-0.483000010,1.340000033
1705305322.093248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11836.000000000,1705305322.093076229,-9.000000000,-15.970000267,161.339996338,3.530999899,-0.481999993,1.340000033
1705305322.109393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11837.000000000,1705305322.109332323,-8.930000305,-16.149999619,161.440002441,3.536999941,-0.486000001,1.325999975
1705305322.125570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11838.000000000,1705305322.125515699,-8.989999771,-16.280000687,161.399993896,3.529000044,-0.483999997,1.315999985
1705305322.137889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11839.000000000,1705305322.137715101,-9.060000420,-16.440000534,161.389999390,3.519000053,-0.486999989,1.315000057
1705305322.154226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11840.000000000,1705305322.154006720,-9.119999886,-16.530000687,161.380004883,3.525000095,-0.481000006,1.310999990
1705305322.168755,2.000000000,1.000000000,-0.343429355,0.186151137,0.019328272,21.449246573,-5.065233588,3.353521180,0.209007904,0.687163913,0.000000000,0.000412084,-0.677241862,-0.000020230,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.449246573,-0.065233588,0.000000000,0.059111059,0.000000000,0.000000000,0.000000000,-0.001990878,0.000156881,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243252069,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000611171,-0.677239828,-0.000035918,0.000000000,0.000000000,0.000000000,0.059072447,0.243266464,2.811045668,,,,,,,,
1705305322.170438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11841.000000000,1705305322.170267582,-9.119999886,-16.549999237,161.389999390,3.526999950,-0.483999997,1.309999943
1705305322.186718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11842.000000000,1705305322.186527252,-9.100000381,-16.760000229,161.449996948,3.517999887,-0.483999997,1.300999999
1705305322.203005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11843.000000000,1705305322.202806950,-9.149999619,-16.920000076,161.470001221,3.513000011,-0.486000001,1.284000039
1705305322.219143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11844.000000000,1705305322.219062090,-9.220000267,-17.040000916,161.429992676,3.507999897,-0.486999989,1.269000053
1705305322.235493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11845.000000000,1705305322.235292435,-9.289999962,-17.360000610,161.509994507,3.502000093,-0.488000005,1.256000042
1705305322.251812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11846.000000000,1705305322.251559258,-9.310000420,-17.569999695,161.570007324,3.496999979,-0.486999989,1.241999984
1705305322.268154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11847.000000000,1705305322.267859221,-9.500000000,-18.129999161,161.660003662,3.480999947,-0.497999996,1.172000051
1705305322.281391,2.000000000,1.000000000,-0.343429355,0.186151137,-0.165171754,20.444246554,-4.966733527,3.334421158,0.203907902,0.618813926,0.000000000,0.000171266,-0.677241504,0.000002607,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.444246554,0.033266473,0.000000000,0.059104897,0.000000000,0.000000000,0.000000000,-0.002408176,0.000228376,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243254378,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000412084,-0.677240248,-0.000020230,0.000000000,0.000000000,0.000000000,0.059088563,0.243259380,2.811045668,,,,,,,,
1705305322.284278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11848.000000000,1705305322.284128666,-9.630000114,-19.299999237,162.000000000,3.405999899,-0.515999973,1.003999949
1705305322.300614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11849.000000000,1705305322.300441265,-9.810000420,-19.450000763,161.759994507,3.341000080,-0.529999971,0.931999981
1705305322.316991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11850.000000000,1705305322.316753626,-9.720000267,-19.270000458,161.610000610,3.275000095,-0.550999999,0.884000003
1705305322.333153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11851.000000000,1705305322.333028078,-9.829999924,-19.409999847,161.729995728,3.315999985,-0.537000000,0.904999971
1705305322.343254,2.000000000,1.000000000,-0.343429355,0.186151137,-0.336671817,19.603746533,-4.866233801,3.291571164,0.193057904,0.528663921,0.000000000,-0.000044997,-0.677241206,0.000027275,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.396253467,0.133766199,0.000000000,0.059098750,0.000000000,0.000000000,0.000000000,-0.002162635,0.000246675,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243256658,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000171266,-0.677240493,0.000002607,0.000000000,0.000000000,0.000000000,0.059102315,0.243252854,2.811045668,,,,,,,,
1705305322.349431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11852.000000000,1705305322.349303246,-9.770000458,-19.729999542,162.020004272,3.421999931,-0.544000030,0.949999988
1705305322.365764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11853.000000000,1705305322.365603209,-10.149999619,-19.729999542,161.830001831,3.351999998,-0.517000020,0.935000002
1705305322.377977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11854.000000000,1705305322.377851963,-9.970000267,-19.860000610,161.779998779,3.311000109,-0.546000004,0.902000010
1705305322.394216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11855.000000000,1705305322.394121647,-10.140000343,-20.139999390,161.880004883,3.329999924,-0.528999984,0.830999970
1705305322.410666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11856.000000000,1705305322.410398245,-10.010000229,-20.170000076,161.970001221,3.348000050,-0.541000009,0.837000012
1705305322.426867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11857.000000000,1705305322.426679850,-10.180000305,-20.010000229,161.860000610,3.349999905,-0.532999992,0.861999989
1705305322.443172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11858.000000000,1705305322.443018198,-10.130000114,-20.399999619,161.990005493,3.351000071,-0.541000009,0.837000012
1705305322.459461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11859.000000000,1705305322.459300518,-10.279999733,-20.579999924,161.839996338,3.338000059,-0.541000009,0.806999981
1705305322.475847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11860.000000000,1705305322.475594759,-10.210000038,-20.629999161,161.899993896,3.315000057,-0.546000004,0.796000004
1705305322.489446,2.000000000,1.000000000,-0.343429355,0.186151137,-0.824171865,17.728246760,-4.617733740,3.207571161,0.168307900,0.317313921,0.000000000,-0.000463350,-0.677241027,0.000081908,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.271753240,0.382266260,0.000000000,0.059096813,0.000000000,0.000000000,0.000000000,-0.004183527,0.000546335,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243257239,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000044997,-0.677241107,0.000027275,0.000000000,0.000000000,0.000000000,0.059138690,0.243235784,2.811045668,,,,,,,,
1705305322.492100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11861.000000000,1705305322.491881132,-10.130000114,-20.770000458,161.929992676,3.328000069,-0.550999999,0.790000021
1705305322.508308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11862.000000000,1705305322.508137703,-10.260000229,-21.010000229,162.070007324,3.361000061,-0.542999983,0.768999994
1705305322.524662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11863.000000000,1705305322.524442673,-10.420000076,-21.049999237,161.949996948,3.308000088,-0.531000018,0.759999990
1705305322.540854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11864.000000000,1705305322.540716887,-10.430000305,-21.290000916,161.899993896,3.292000055,-0.545000017,0.755999982
1705305322.556983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11865.000000000,1705305322.556936741,-10.510000229,-21.620000839,162.080001831,3.341000080,-0.531000018,0.746999979
1705305322.564735,2.000000000,1.000000000,-0.343429355,0.186151137,-1.117671907,16.672746730,-4.483733343,3.160671186,0.154707898,0.187413916,0.000000000,-0.000758121,-0.677240908,0.000119635,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-3.327253270,0.516266657,0.000000000,0.059096575,0.000000000,0.000000000,0.000000000,-0.002947705,0.000377268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243256941,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000463350,-0.677241575,0.000081908,0.000000000,0.000000000,0.000000000,0.059165467,0.243223118,2.811045668,,,,,,,,
1705305322.573306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11866.000000000,1705305322.573180914,-10.399999619,-21.600000381,162.080001831,3.351000071,-0.542999983,0.754999995
1705305322.589652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11867.000000000,1705305322.589460611,-10.420000076,-21.520000458,162.029998779,3.322999954,-0.541000009,0.757000029
1705305322.601839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11868.000000000,1705305322.601752520,-10.369999886,-21.780000687,162.050003052,3.318000078,-0.552999973,0.711000025
1705305322.618076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11869.000000000,1705305322.618018150,-10.460000038,-21.840000153,162.020004272,3.315000057,-0.549000025,0.698000014
1705305322.634565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11870.000000000,1705305322.634310484,-10.460000038,-21.930000305,162.080001831,3.305999994,-0.549000025,0.723999977
1705305322.650748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11871.000000000,1705305322.650609732,-10.420000076,-21.979999542,162.039993286,3.319999933,-0.555000007,0.736000001
