__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9,/robotiq_ft_wrench/header/seq,/robotiq_ft_wrench/header/stamp,/robotiq_ft_wrench/wrench/force/x,/robotiq_ft_wrench/wrench/force/y,/robotiq_ft_wrench/wrench/force/z,/robotiq_ft_wrench/wrench/torque/x,/robotiq_ft_wrench/wrench/torque/y,/robotiq_ft_wrench/wrench/torque/z
1705311024.222352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367730.000000000,1705311024.222134352,-15.260000229,-41.340000153,163.410003662,0.180000007,-0.514999986,0.552999973
1705311024.238545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367731.000000000,1705311024.238418341,-15.279999733,-41.330001831,163.429992676,0.178000003,-0.513999999,0.554000020
1705311024.254749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367732.000000000,1705311024.254672289,-15.260000229,-41.340000153,163.460006714,0.179000005,-0.513999999,0.552999973
1705311024.271063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367733.000000000,1705311024.270918846,-15.229999542,-41.290000916,163.460006714,0.181999996,-0.513999999,0.550999999
1705311024.287292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367734.000000000,1705311024.287186623,-15.250000000,-41.319999695,163.460006714,0.180000007,-0.513999999,0.551999986
1705311024.303468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367735.000000000,1705311024.303412676,-15.250000000,-41.330001831,163.429992676,0.180000007,-0.514999986,0.550999999
1705311024.319689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367736.000000000,1705311024.319623947,-15.270000458,-41.340000153,163.419998169,0.180999994,-0.513000011,0.550999999
1705311024.335952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367737.000000000,1705311024.335897923,-15.279999733,-41.330001831,163.410003662,0.180999994,-0.513000011,0.551999986
1705311024.352312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367738.000000000,1705311024.352264166,-15.310000420,-41.279998779,163.419998169,0.180000007,-0.512000024,0.551999986
1705311024.364627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367739.000000000,1705311024.364573479,-15.270000458,-41.180000305,163.419998169,0.181999996,-0.513000011,0.551999986
1705311024.381047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367740.000000000,1705311024.380987406,-15.189999580,-41.349998474,163.449996948,0.180000007,-0.514999986,0.551999986
1705311024.397387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367741.000000000,1705311024.397354126,-15.270000458,-41.349998474,163.449996948,0.180999994,-0.513000011,0.551999986
1705311024.413637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367742.000000000,1705311024.413589954,-15.250000000,-41.380001068,163.429992676,0.180999994,-0.513999999,0.552999973
1705311024.429873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367743.000000000,1705311024.429816008,-15.239999771,-41.369998932,163.389999390,0.179000005,-0.513999999,0.554000020
1705311024.446137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367744.000000000,1705311024.446037292,-15.239999771,-41.369998932,163.410003662,0.178000003,-0.513999999,0.554000020
1705311024.462389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367745.000000000,1705311024.462266684,-15.289999962,-41.319999695,163.399993896,0.180999994,-0.513000011,0.552999973
1705311024.469586,11.651481165,-10.012432480,-0.513833334,0.552999993,0.000000000,0.000000000,11.391349067,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.132139386,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.233161480,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.244615858,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-15.246666590,0.000000000,0.000000000,0.000000000,0.000000000,-41.356665929,163.421663920,0.180000000,,,,,,,,
1705311024.478542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367746.000000000,1705311024.478491068,-15.250000000,-41.290000916,163.460006714,0.180999994,-0.513999999,0.554000020
1705311024.494745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367747.000000000,1705311024.494711637,-15.239999771,-41.270000458,163.449996948,0.180000007,-0.513999999,0.554000020
1705311024.511095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367748.000000000,1705311024.510985374,-15.220000267,-41.369998932,163.440002441,0.179000005,-0.515999973,0.554000020
1705311024.527341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367749.000000000,1705311024.527217865,-15.170000076,-41.360000610,163.419998169,0.180000007,-0.517000020,0.552999973
1705311024.543493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367750.000000000,1705311024.543431997,-15.189999580,-41.299999237,163.429992676,0.180999994,-0.517000020,0.551999986
1705311024.559724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367751.000000000,1705311024.559630156,-15.239999771,-41.250000000,163.449996948,0.180000007,-0.513999999,0.552999973
1705311024.562954,11.679814511,-9.962433243,-0.515333335,0.553333332,0.000000000,0.000000000,11.411350797,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.131972716,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.234661480,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.244949197,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-15.218333244,0.000000000,0.000000000,0.000000000,0.000000000,-41.306666692,163.441665649,0.180166669,,,,,,,,
1705311024.575903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367752.000000000,1705311024.575810194,-15.189999580,-41.330001831,163.440002441,0.180000007,-0.514999986,0.551999986
1705311024.592125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367753.000000000,1705311024.592027903,-15.229999542,-41.299999237,163.410003662,0.181999996,-0.513999999,0.552999973
1705311024.608342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367754.000000000,1705311024.608245611,-15.310000420,-41.270000458,163.440002441,0.181999996,-0.512000024,0.552999973
1705311024.620524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367755.000000000,1705311024.620410442,-15.210000038,-41.389999390,163.470001221,0.179000005,-0.514999986,0.552999973
1705311024.636713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367756.000000000,1705311024.636624813,-15.260000229,-41.250000000,163.460006714,0.181999996,-0.514999986,0.552999973
1705311024.653044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367757.000000000,1705311024.652850866,-15.250000000,-41.250000000,163.410003662,0.180999994,-0.513999999,0.552999973
