__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9,/robotiq_ft_wrench/header/seq,/robotiq_ft_wrench/header/stamp,/robotiq_ft_wrench/wrench/force/x,/robotiq_ft_wrench/wrench/force/y,/robotiq_ft_wrench/wrench/force/z,/robotiq_ft_wrench/wrench/torque/x,/robotiq_ft_wrench/wrench/torque/y,/robotiq_ft_wrench/wrench/torque/z
1705320517.013489,2.000000000,1.000000000,-0.343429674,0.186151372,-4.110236505,11.124632303,-6.195649433,4.374689087,0.057866930,-1.263525070,0.000000000,-0.002147673,-0.677393675,-0.000309324,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-8.875367697,-1.195649433,0.000000000,0.059700947,0.000000000,0.000000000,0.000000000,-0.002846750,0.000416475,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243374988,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001862998,-0.677419746,-0.000350972,0.000000000,0.000000000,0.000000000,0.059912965,0.243336903,2.811045292,,,,,,,,
1705320517.132546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961068.000000000,1705320517.132319689,-18.989999771,-31.200000763,159.130004883,4.592999935,-0.453000009,-0.546000004
1705320517.148991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961069.000000000,1705320517.148705006,-19.319999695,-30.750000000,158.630004883,4.538000107,-0.446999997,-0.550999999
1705320517.165635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961070.000000000,1705320517.165333271,-18.180000305,-26.790000916,158.919998169,4.610000134,-0.425999999,-0.432999998
1705320517.182000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961071.000000000,1705320517.181721210,-18.750000000,-24.709999084,158.699996948,4.644000053,-0.430999994,-0.451000005
1705320517.198539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961072.000000000,1705320517.198254585,-18.889999390,-23.110000610,157.880004883,4.566999912,-0.418000013,-0.437000006
1705320517.215123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961073.000000000,1705320517.214837074,-18.549999237,-23.440000534,157.789993286,4.527999878,-0.451000005,-0.412999988
1705320517.231370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961074.000000000,1705320517.231127501,-18.479999542,-24.149999619,158.619995117,4.636000156,-0.407000005,-0.282999992
1705320517.247650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961075.000000000,1705320517.247425795,-18.489999771,-24.030000687,158.770004272,4.734000206,-0.397000015,-0.193000004
1705320517.259855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961076.000000000,1705320517.259677887,-18.299999237,-23.649999619,158.399993896,4.696000099,-0.405999988,-0.184000000
1705320517.259887,2.000000000,1.000000000,-0.343429674,0.186151372,-3.738236096,12.641132013,-6.425650501,4.383539137,0.067016925,-1.111075060,0.000000000,-0.001901308,-0.677393675,-0.000346995,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-7.358867987,-1.425650501,0.000000000,0.059700947,0.000000000,0.000000000,0.000000000,0.002463649,-0.000376707,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243374988,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002147673,-0.677419484,-0.000309324,0.000000000,0.000000000,0.000000000,0.059890546,0.243347787,2.811045292,,,,,,,,
1705320517.276285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961077.000000000,1705320517.276108742,-17.920000076,-23.270000458,158.169998169,4.581999779,-0.402999997,-0.247999996
1705320517.292554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961078.000000000,1705320517.292478561,-17.850000381,-22.659999847,157.869995117,4.567999840,-0.421999991,-0.241999999
1705320517.302576,2.000000000,1.000000000,-0.343429674,0.186151372,-3.561236146,13.909131948,-6.584650898,4.396839127,0.072016926,-1.048525059,0.000000000,-0.001598435,-0.677393675,-0.000386329,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-6.090868052,-1.584650898,0.000000000,0.059700947,0.000000000,0.000000000,0.000000000,0.003028730,-0.000393342,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243374988,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001901308,-0.677418902,-0.000346995,0.000000000,0.000000000,0.000000000,0.059862804,0.243360547,2.811045292,,,,,,,,
1705320517.305851,2.000000000,1.000000000,-0.343429674,0.186151372,-3.561236146,13.909131948,-6.584650898,4.396839127,0.072016926,-1.048525059,0.000000000,-0.001537861,-0.677393675,-0.000394196,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-6.090868052,-1.584650898,0.000000000,0.059700947,0.000000000,0.000000000,0.000000000,0.000605746,-0.000078668,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.243374988,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001598435,-0.677418786,-0.000386329,0.000000000,0.000000000,0.000000000,0.059857255,0.243363098,2.811045292,,,,,,,,
1705320517.308927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961079.000000000,1705320517.308779955,-17.649999619,-21.250000000,158.119995117,4.637000084,-0.405000001,-0.083999999
1705320517.325541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961080.000000000,1705320517.325200796,-18.100000381,-21.729999542,158.240005493,4.668000221,-0.386999995,-0.011000000
1705320517.341624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961081.000000000,1705320517.341471195,-17.909999847,-21.909999847,158.300003052,4.669000149,-0.402000010,-0.021000000
1705320517.357972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961082.000000000,1705320517.357733250,-17.700000763,-22.200000763,158.339996338,4.622000217,-0.393999994,-0.037000000
1705320517.374509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961083.000000000,1705320517.374165297,-17.350000381,-22.409999847,158.570007324,4.619999886,-0.405000001,-0.050000001
1705320517.390670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961084.000000000,1705320517.390429258,-18.899999619,-25.659999847,158.100006104,4.550000191,-0.412999988,-0.407999992
1705320517.406869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961085.000000000,1705320517.406738043,-19.239999771,-28.459999084,158.669998169,4.477000237,-0.451000005,-0.672999978
