__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9,/robotiq_ft_wrench/header/seq,/robotiq_ft_wrench/header/stamp,/robotiq_ft_wrench/wrench/force/x,/robotiq_ft_wrench/wrench/force/y,/robotiq_ft_wrench/wrench/force/z,/robotiq_ft_wrench/wrench/torque/x,/robotiq_ft_wrench/wrench/torque/y,/robotiq_ft_wrench/wrench/torque/z
1701093015.663065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144489.000000000,1701093015.662781239,-3.309999943,17.260000229,95.720001221,0.479000002,-0.409000009,-0.312999994
1701093015.675276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144490.000000000,1701093015.674977779,-3.250000000,17.290000916,95.730003357,0.476000011,-0.414000005,-0.312999994
1701093015.691531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144491.000000000,1701093015.691236019,-3.210000038,17.209999084,95.639999390,0.470999986,-0.412000000,-0.312000006
1701093015.707749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144492.000000000,1701093015.707489491,-3.200000048,17.219999313,95.629997253,0.474999994,-0.414000005,-0.312999994
1701093015.723990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144493.000000000,1701093015.723752260,-3.289999962,17.239999771,95.699996948,0.479999989,-0.409999996,-0.312999994
1701093015.740337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144494.000000000,1701093015.740014076,-3.200000048,17.219999313,95.690002441,0.472999990,-0.414000005,-0.312000006
1701093015.756405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144495.000000000,1701093015.756257534,-3.200000048,17.190000534,95.690002441,0.472000003,-0.412999988,-0.310999990
1701093015.772646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144496.000000000,1701093015.772458792,-3.240000010,17.250000000,95.709999084,0.479999989,-0.411000013,-0.308999985
1701093015.788988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144497.000000000,1701093015.788714647,-3.319999933,17.340000153,95.709999084,0.483000010,-0.409000009,-0.310999990
1701093015.797681,-0.699445069,0.007527950,-0.018821364,0.002363428,-1.315375522,2.689228215,-7.089390139,0.022666218,0.001473271,-0.223519259,0.000373692,-0.000346215,0.165945441,0.000658212,-0.000835317,-0.001398400,-0.000149013,1.000000000,1.000000000,-2.718966850,0.047511415,0.302630950,18.684624478,3.128861666,-17.310771785,32.910609861,-0.626487724,-0.699200146,-0.223519259,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.015864268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.787732840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,32764.000000000,-0.698910801,-524315568.000000000,32764.000000000,0.000000000,0.000000000,0.007965455,0.165298742,-3.140214121,,,,,,,,
1701093015.805269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144498.000000000,1701093015.804992676,-3.339999914,17.319999695,95.709999084,0.476000011,-0.409000009,-0.312000006
