__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9,/robotiq_ft_wrench/header/seq,/robotiq_ft_wrench/header/stamp,/robotiq_ft_wrench/wrench/force/x,/robotiq_ft_wrench/wrench/force/y,/robotiq_ft_wrench/wrench/force/z,/robotiq_ft_wrench/wrench/torque/x,/robotiq_ft_wrench/wrench/torque/y,/robotiq_ft_wrench/wrench/torque/z
1701093254.096832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159384.000000000,1701093254.096702099,-0.050000001,16.000000000,98.410003662,0.560000002,-0.419999987,-0.005000000
1701093254.113186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159385.000000000,1701093254.112962723,-0.029999999,16.180000305,98.419998169,0.555999994,-0.423000008,-0.021000000
1701093254.129451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159386.000000000,1701093254.129233122,-0.050000001,16.329999924,98.379997253,0.549000025,-0.421999991,-0.028000001
1701093254.145620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159387.000000000,1701093254.145489454,-0.100000001,16.239999771,98.430000305,0.547999978,-0.421999991,-0.013000000
1701093254.161880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159388.000000000,1701093254.161721230,-0.150000006,16.079999924,98.510002136,0.568000019,-0.414000005,-0.008000000
1701093254.178212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159389.000000000,1701093254.177997589,-0.020000000,16.149999619,98.480003357,0.564999998,-0.423999995,-0.017000001
1701093254.194365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159390.000000000,1701093254.194239378,-0.109999999,16.250000000,98.440002441,0.541999996,-0.419999987,-0.023000000
1701093254.195819,-0.699445069,0.007527950,-0.018569727,0.002166751,1.836624476,1.581728139,-4.339390139,0.101516216,-0.005926727,0.072280738,0.000436732,-0.000368365,0.165945441,0.000713212,-0.000785559,-0.001649600,0.000048187,1.000000000,1.000000000,-1.578879355,-0.070208584,-0.662369052,21.836624476,3.128861666,-18.418271861,35.660609861,-0.589168979,-0.824800145,0.072280738,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.015864268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.787732840,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,32764.000000000,-0.698820036,-524315568.000000000,32764.000000000,0.000000000,0.000000000,0.007982618,0.165245569,-3.140160385,,,,,,,,
1701093254.210762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159391.000000000,1701093254.210486174,-0.020000000,16.200000763,98.389999390,0.538999975,-0.428999990,-0.017000001
1701093254.226946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159392.000000000,1701093254.226746798,-0.150000006,16.000000000,98.430000305,0.568000019,-0.414999992,-0.009000000
