__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9
1706508016.645352,7.000000000,1.000000000,0.002163128,0.804802895,-0.698186346,-0.038969602,0.098598076,-3.139479550,0.002190145,0.804802031,5.611518297,-1.959418749,-17.629744786,-3.563456587,-0.135782495,0.037161752,-0.625747740,5.611518297,-1.959418749,-3.563456587,-0.204362151,-0.159241388,-0.625747740,-0.159241388,-0.001080837,0.000470412,-0.000406695,0.002678028,0.000729149,-0.000002504,0.011763455,-0.004154043,-0.006923566,-0.029926315,-2.870355059,-0.032577427,-0.020855754,0.000095509,0.000055007,-0.001099052,-0.000314604,-0.002528593,-0.002088080,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,5.611518297,-1.959418749,-43.563456587,-0.135782495,0.037161752,-0.625747740,-0.698161125,0.000000000,0.000000000,0.000000000,0.000000000,-0.038955308,0.098586433,-3.139535189
1706508016.746095,7.000000000,1.000000000,0.002163128,0.804802895,-0.698132858,-0.038957968,0.098696252,-3.139378183,0.002363742,0.805012136,5.608018359,-1.966418813,-17.626039849,-3.553456740,-0.135832495,0.037861751,-0.625697740,5.608018359,-1.966418813,-3.553456740,-0.204657153,-0.158418892,-0.625697740,-0.158418892,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,0.011216037,-0.003932838,-0.007106913,-0.027287620,-2.868905084,-0.031683778,-0.020856591,0.001121604,-0.000393284,-0.000710691,-0.002728762,-0.003168378,-0.002085659,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,5.608018359,-1.966418813,-43.553456740,-0.135832495,0.037861751,-0.625697740,-0.698161125,0.000000000,0.000000000,0.000000000,0.000000000,-0.038955308,0.098586433,-3.139535189
1706508016.846050,7.000000000,1.000000000,0.002166001,0.804805577,-0.698026959,-0.038893572,0.098657087,-3.139503650,0.002579688,0.805012368,5.626951742,-1.972415913,-17.624699693,-3.546456571,-0.137082508,0.040711454,-0.622997595,5.626951742,-1.972415913,-3.546456571,-0.206117065,-0.156231857,-0.622997595,-0.156231857,-0.000001708,0.000002021,-0.000015426,-0.000001853,-0.000038860,-0.000026763,0.011254757,-0.003945842,-0.007085200,-0.027480422,-2.873778292,-0.031207511,-0.020739824,0.001123768,-0.000392563,-0.000723946,-0.002749895,-0.003159611,-0.002100745,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,5.626951742,-1.972415913,-43.546456571,-0.137082508,0.040711454,-0.622997595,-0.698161006,0.000000000,0.000000000,0.000000000,0.000000000,-0.038955495,0.098587975,-3.139532566
1706508016.945839,7.000000000,1.000000000,0.002229261,0.804850221,-0.698026685,-0.038893673,0.098659954,-3.139503138,0.002583432,0.805016562,5.749934202,-1.915900919,-17.754672659,-3.800953271,-0.167234818,0.096606873,-0.629844726,5.749934202,-1.915900919,-3.800953271,-0.234291350,-0.104640824,-0.629844726,-0.104640824,0.000121941,-0.000032543,-0.000195862,-0.000302008,-0.000593943,-0.000445136,0.011438898,-0.003815530,-0.007503975,-0.030936838,-2.929818406,-0.020334222,-0.020549688,0.001265831,-0.000414096,-0.000946260,-0.003395692,-0.002627365,-0.002500105,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,5.749934202,-1.915900919,-43.800953271,-0.167234818,0.096606873,-0.629844726,-0.698144555,0.000000000,0.000000000,0.000000000,0.000000000,-0.038949728,0.098607510,-3.139511824
1706508017.045983,7.000000000,1.000000000,0.002296197,0.804873049,-0.697999954,-0.038880860,0.098701678,-3.139565593,0.002654635,0.805101151,5.931233150,-1.912980303,-17.891623873,-4.056951517,-0.201888956,0.159453716,-0.635741983,5.931233150,-1.912980303,-4.056951517,-0.268843266,-0.048139445,-0.635741983,-0.048139445,0.000224857,-0.000087702,-0.000038505,-0.000538071,-0.000409204,-0.000226906,0.011750038,-0.003782110,-0.008094651,-0.035307697,-3.008235243,-0.009218685,-0.020964494,0.001399861,-0.000465913,-0.000847970,-0.004068841,-0.001331072,-0.002323355,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,5.931233150,-1.912980303,-44.056951517,-0.201888956,0.159453716,-0.635741983,-0.698119342,0.000000000,0.000000000,0.000000000,0.000000000,-0.038936563,0.098611280,-3.139520884
1706508017.145403,7.000000000,1.000000000,0.002329502,0.804896593,-0.697970962,-0.038857553,0.098695596,-3.139713938,0.002677546,0.805106166,5.642335505,-1.904070882,-17.944813410,-4.128950336,-0.226590794,0.222751925,-0.614490580,5.642335505,-1.904070882,-4.128950336,-0.293233275,0.025270183,-0.614490580,0.025270183,0.000085017,-0.000024250,-0.000101429,-0.000239611,-0.000232092,-0.000234750,0.011242163,-0.003796017,-0.008207186,-0.038858159,-2.871424782,0.005286128,-0.020248269,0.001209233,-0.000403851,-0.000922148,-0.004125427,0.000296521,-0.002259577,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,5.642335505,-1.904070882,-44.128950336,-0.226590794,0.222751925,-0.614490580,-0.698109210,0.000000000,0.000000000,0.000000000,0.000000000,-0.038932201,0.098621391,-3.139521360
1706508017.245901,7.000000000,1.000000000,0.002400146,0.804939210,-0.697991550,-0.038859582,0.098713216,-3.139833512,0.002599778,0.805123063,4.082372520,-2.054822310,-17.728544746,-3.615948891,-0.210246409,0.250799839,-0.525987902,4.082372520,-2.054822310,-3.615948891,-0.282165190,0.107916801,-0.525987902,0.107916801,0.000253872,-0.000084714,-0.000154672,-0.000730141,-0.000270137,-0.000424729,0.008037809,-0.004067288,-0.007154562,-0.036891884,-2.158936910,0.021853497,-0.017108201,0.001057653,-0.000491443,-0.000870128,-0.004419330,0.001915213,-0.002135549,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,4.082372520,-2.054822310,-43.615948891,-0.210246409,0.250799839,-0.525987902,-0.698082089,0.000000000,0.000000000,0.000000000,0.000000000,-0.038917899,0.098636769,-3.139553785
1706508017.345760,7.000000000,1.000000000,0.002430876,0.804958522,-0.697991548,-0.038834911,0.098723464,-3.140001192,0.002576778,0.805153045,2.403777498,-2.058172899,-17.391415030,-2.992449116,-0.122399332,0.199699412,-0.415086820,2.403777498,-2.058172899,-2.992449116,-0.194435383,0.115567200,-0.415086820,0.115567200,0.000125911,-0.000042597,-0.000068602,-0.000379744,-0.000055392,-0.000192496,0.004744599,-0.004095047,-0.005950597,-0.025544974,-1.376597819,0.023168832,-0.013643731,0.000600371,-0.000452102,-0.000663661,-0.002934241,0.002261491,-0.001556869,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,2.403777498,-2.058172899,-42.992449116,-0.122399332,0.199699412,-0.415086820,-0.698069215,0.000000000,0.000000000,0.000000000,0.000000000,-0.038910631,0.098643586,-3.139576674
1706508017.445817,7.000000000,1.000000000,0.002464623,0.804999173,-0.698026677,-0.038843286,0.098709790,-3.139943689,0.002478133,0.805114263,-0.140201443,-2.126834223,-16.658024628,-1.507950180,0.019594642,0.089401758,-0.234036118,-0.140201443,-2.126834223,-1.507950180,-0.054844556,0.094308808,-0.234036118,0.094308808,0.000192870,-0.000077429,-0.000173583,-0.000782742,0.000304378,-0.000405822,-0.000376838,-0.004214954,-0.002929109,-0.006529865,-0.177955540,0.018557384,-0.007395382,0.000155186,-0.000498924,-0.000466493,-0.001435729,0.002160116,-0.001145361,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-0.140201443,-2.126834223,-41.507950180,0.019594642,0.089401758,-0.234036118,-0.698052347,0.000000000,0.000000000,0.000000000,0.000000000,-0.038896874,0.098660886,-3.139653444
1706508017.545907,7.000000000,1.000000000,0.002482028,0.805041432,-0.698053527,-0.038836568,0.098707511,-3.139907427,0.002413179,0.805113601,-1.987167422,-1.790878603,-16.099173442,-0.321951942,0.092288085,-0.000893584,-0.129236353,-1.987167422,-1.790878603,-0.321951942,0.029607334,0.068657276,-0.129236353,0.068657276,0.000176808,-0.000122048,-0.000175129,-0.000850972,0.000603734,-0.000422241,-0.004062739,-0.003520733,-0.000556340,0.004798617,0.665630616,0.013127721,-0.003885638,-0.000229466,-0.000474122,-0.000230763,-0.000371111,0.001916506,-0.000810804,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-1.987167422,-1.790878603,-40.321951942,0.092288085,-0.000893584,-0.129236353,-0.698039353,0.000000000,0.000000000,0.000000000,0.000000000,-0.038878232,0.098678350,-3.139756203
1706508017.645947,7.000000000,1.000000000,0.002477519,0.805050790,-0.698077101,-0.038828852,0.098701515,-3.139917761,0.002372603,0.805122318,-3.842815193,-1.394635736,-15.612606115,0.778047862,0.124986991,-0.068892000,-0.024436775,-3.842815193,-1.394635736,0.778047862,0.076174740,0.065606532,-0.024436775,0.065606532,0.000019305,-0.000038031,-0.000041461,-0.000142052,0.000205566,-0.000093660,-0.007695283,-0.002770256,0.001576826,0.010298684,1.512689302,0.012915740,-0.000720900,-0.000750223,-0.000315056,0.000116221,0.000887816,0.001497140,-0.000165750,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-3.842815193,-1.394635736,-39.221952138,0.124986991,-0.068892000,-0.024436775,-0.698038995,0.000000000,0.000000000,0.000000000,0.000000000,-0.038873389,0.098682493,-3.139780760
1706508017.745982,7.000000000,1.000000000,0.002466338,0.805062532,-0.698125383,-0.038850019,0.098671118,-3.139823805,0.002308848,0.805067070,-5.383408152,-0.887499645,-15.388856944,1.310547918,0.117986376,-0.117640169,0.054162539,-5.383408152,-0.887499645,1.310547918,0.086923889,0.070779117,0.054162539,0.070779117,-0.000018491,-0.000063049,-0.000035912,-0.000079757,0.000237596,-0.000117621,-0.010757571,-0.001743475,0.002639052,0.011669609,2.207525800,0.013918227,0.001923039,-0.001094248,-0.000237397,0.000227993,0.001087203,0.001629419,0.000074683,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-5.383408152,-0.887499645,-38.689452082,0.117986376,-0.117640169,0.054162539,-0.698042691,0.000000000,0.000000000,0.000000000,0.000000000,-0.038866576,0.098686092,-3.139803171
1706508017.845865,7.000000000,1.000000000,0.002435942,0.805067003,-0.698164285,-0.038853117,0.098663648,-3.139841531,0.002274257,0.805054733,-6.091395754,-0.647223556,-15.380346675,1.251046919,0.141887382,-0.166037862,0.126561142,-6.091395754,-0.647223556,1.251046919,0.119234558,0.047160989,0.126561142,0.047160989,-0.000133434,-0.000061702,0.000012955,0.000130499,0.000299240,-0.000045247,-0.012116074,-0.001263596,0.002495616,0.015767442,2.563119443,0.009132958,0.004263952,-0.001345042,-0.000188062,0.000262517,0.001707243,0.001212536,0.000381148,-0.712594701,-0.015930791,0.000000000,0.186390782,2.934333755,0.334251681,-0.175112167,-6.091395754,-0.647223556,-38.748953081,0.141887382,-0.166037862,0.126561142,-0.698058307,0.000000000,0.000000000,0.000000000,0.000000000,-0.038861658,0.098684840,-3.139815092
