__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9
1706875513.372711,2.000000000,1.000000000,-0.171900004,1.027999997,-0.575677735,-0.026832993,0.168487201,2.782200098,-0.171900004,1.027999997,3.695200069,-4.428780081,1.700601902,-4.971939484,3.844384998,-0.006211015,1.560531027,0.000000000,-44.428780081,0.028060516,0.000000000,0.000000000,0.000000000,-0.135543017,-0.000000484,-0.000000094,-0.000028317,0.000000000,-0.000000000,0.000000000,0.000003871,-0.088856618,0.000563771,0.000000000,0.082450999,0.000000000,-0.000000000,-0.000000097,-0.008885756,0.000028061,0.000000000,-0.000000000,0.000000000,-0.575677735,-0.026832993,0.000000000,0.168487201,3.007870525,-0.374687801,0.236686420,3.695200069,-4.428780081,-4.971939484,3.689377695,-0.135543017,1.560531027,-0.575677633,0.000000000,0.000000000,0.000000000,0.000000000,-0.026833013,0.168486819,2.782200098
1706875513.472806,2.000000000,1.000000000,-0.171900004,1.027999997,-0.575840912,-0.025966883,0.168373978,2.782200098,-0.171900004,1.027999997,3.737700184,-4.341780092,1.675096203,-5.047941223,3.846234995,-0.005961015,1.579581029,0.000000000,-44.341780092,-0.047941223,0.000000000,0.000000000,0.000000000,-0.136780521,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,-0.000000000,-0.088683560,-0.000479412,0.000000000,0.084500955,0.000000000,-0.000000000,0.000000000,-0.008868356,-0.000047941,0.000000000,-0.000000000,0.000000000,-0.575677735,-0.026832993,0.000000000,0.168487201,3.007870525,-0.374687801,0.236686420,3.737700184,-4.341780092,-5.047941223,3.694272692,-0.136780521,1.579581029,-0.575677633,0.000000000,0.000000000,0.000000000,0.000000000,-0.026833013,0.168486819,2.782200098
1706875513.572896,2.000000000,1.000000000,-0.171900004,1.027999997,-0.575843499,-0.025968238,0.168381207,2.782200098,-0.171900004,1.027999997,3.819200142,-4.234780218,1.709591261,-5.211941162,3.942585033,-0.004661008,1.605881018,0.000000000,-44.234780218,-0.211941162,0.000000000,0.000000000,0.000000000,-0.138333013,-0.000000238,-0.000403393,-0.000000722,0.000000000,-0.000000000,0.000000000,0.000001900,-0.084435627,-0.002112193,0.000000000,0.078200961,0.000000000,-0.000000000,-0.000000048,-0.008846956,-0.000211941,0.000000000,-0.000000000,0.000000000,-0.575677735,-0.026832993,0.000000000,0.168487201,3.007870525,-0.374687801,0.236686420,3.819200142,-4.234780218,-5.211941162,3.794367726,-0.138333013,1.605881018,-0.575685143,0.000000000,0.000000000,0.000000000,0.000000000,-0.026793689,0.168481871,2.782200098
1706875513.672829,2.000000000,1.000000000,-0.171899974,1.027999997,-0.575856913,-0.025930270,0.168391649,2.782200098,-0.171900004,1.027999997,3.868699701,-4.227779967,1.759686584,-5.284440328,4.021435015,-0.005711005,1.633831008,0.000000000,-44.227779967,-0.284440328,0.000000000,0.000000000,0.000000000,-0.141115494,-0.000000734,-0.002283962,0.000002825,-0.000000197,-0.000000197,-0.000000105,0.000005872,-0.065615943,-0.002872651,0.000000197,0.086351128,0.000000197,0.000000105,-0.000000147,-0.008845556,-0.000284440,-0.000000178,-0.000000178,-0.000000094,-0.575677735,-0.026832993,0.000000000,0.168487201,3.007870525,-0.374687801,0.236686420,3.868699701,-4.227779967,-5.284440328,3.873462716,-0.141115494,1.633831008,-0.575727344,0.000000000,0.000000000,0.000000000,0.000000000,-0.026571056,0.168453246,2.782200098
1706875513.772835,2.000000000,1.000000000,-0.171899974,1.027999997,-0.575901878,-0.025707452,0.168369725,2.782200098,-0.171899948,1.027999997,3.659699686,-4.231279856,1.829814626,-5.311938955,4.102685003,-0.007211015,1.602980967,0.000000000,-44.231279856,-0.311938955,0.000000000,0.000000000,0.000000000,-0.135300504,-0.000000221,-0.000828207,-0.000018119,0.000000000,0.000000000,0.000000000,0.000001766,-0.080180486,-0.002938201,0.000000000,0.139101093,0.000000000,-0.000000000,-0.000000044,-0.008846256,-0.000311939,0.000000000,0.000000000,0.000000000,-0.575677735,-0.026832993,0.000000000,0.168487201,3.007870525,-0.374687801,0.236686420,3.659699686,-4.231279856,-5.311938955,3.954590208,-0.135300504,1.602980967,-0.575743377,0.000000000,0.000000000,0.000000000,0.000000000,-0.026490239,0.168444633,2.782200098
1706875513.872911,2.000000000,1.000000000,-0.171899959,1.027999997,-0.575918972,-0.025626444,0.168363643,2.782200098,-0.171899974,1.027999997,3.488199504,-4.532279499,1.818379488,-5.298939271,4.096584979,-0.016561006,1.546180960,0.000000000,-44.532279499,-0.298939271,0.000000000,0.000000000,0.000000000,-0.138647988,-0.000000769,-0.000891358,-0.000037654,-0.000000099,-0.000000099,-0.000000052,0.000006149,-0.080150977,-0.002612848,0.000000099,0.150901158,0.000000099,0.000000052,-0.000000154,-0.008906456,-0.000298939,-0.000000089,-0.000000089,-0.000000047,-0.575677735,-0.026832993,0.000000000,0.168487201,3.007870525,-0.374687801,0.236686420,3.488199504,-4.532279499,-5.298939271,3.937955196,-0.138647988,1.546180960,-0.575761378,0.000000000,0.000000000,0.000000000,0.000000000,-0.026403191,0.168437019,2.782200098
1706875513.972254,2.000000000,1.000000000,-0.171899945,1.027999997,-0.575937596,-0.025533586,0.168354079,2.782200098,-0.171899946,1.027999997,3.533196749,-4.344281772,1.790808758,-5.305440971,4.065035009,-0.015861014,1.547080957,0.000000000,-44.344281772,-0.305440971,0.000000000,0.000000000,0.000000000,-0.139522900,-0.000000449,-0.000841702,-0.000028520,0.000001587,-0.000001785,-0.000000052,0.000003588,-0.080271543,-0.002769205,-0.000001587,0.133802257,0.000001785,0.000000052,-0.000000090,-0.008868856,-0.000305441,0.000001429,-0.000001606,-0.000000047,-0.575677735,-0.026832993,0.000000000,0.168487201,3.007870525,-0.374687801,0.236686420,3.533196749,-4.344281772,-5.305440971,3.912985147,-0.139522900,1.547080957,-0.575778067,0.000000000,0.000000000,0.000000000,0.000000000,-0.026321026,0.168429196,2.782200336
1706875514.072826,2.000000000,1.000000000,-0.171899930,1.027999997,-0.575953822,-0.025455064,0.168347330,2.782200551,-0.171899931,1.027999997,3.761196556,-4.363781648,1.789676411,-5.233940615,4.035985015,-0.017411003,1.570580971,0.000000000,-44.363781648,-0.233940615,0.000000000,0.000000000,0.000000000,-0.149052883,-0.000000549,-0.001415084,-0.000048243,-0.000000099,-0.000000099,-0.000000052,0.000004390,-0.074576723,-0.001856976,0.000000099,0.066102349,0.000000099,0.000000052,-0.000000110,-0.008872756,-0.000233941,-0.000000089,-0.000000089,-0.000000047,-0.575677735,-0.026832993,0.000000000,0.168487201,3.007870525,-0.374687801,0.236686420,3.761196556,-4.363781648,-5.233940615,3.883252658,-0.149052883,1.570580971,-0.575806141,0.000000000,0.000000000,0.000000000,0.000000000,-0.026182868,0.168416068,2.782200336
1706875514.172716,2.000000000,1.000000000,-0.171899915,1.027999997,-0.575979237,-0.025316837,0.168327553,2.782200336,-0.171899916,1.027999997,3.733696427,-4.203781422,1.814776195,-5.153941114,4.023484990,-0.010760997,1.577430964,0.000000000,-44.203781422,-0.153941114,0.000000000,0.000000000,0.000000000,-0.141440372,-0.000000533,-0.001717834,-0.000059236,-0.000000099,-0.000000099,-0.000000052,0.000004261,-0.071229224,-0.000947047,0.000000099,0.083952393,0.000000099,0.000000052,-0.000000107,-0.008840756,-0.000153941,-0.000000089,-0.000000089,-0.000000047,-0.575677735,-0.026832993,0.000000000,0.168487201,3.007870525,-0.374687801,0.236686420,3.733696427,-4.203781422,-5.153941114,3.876352641,-0.141440372,1.577430964,-0.575840235,0.000000000,0.000000000,0.000000000,0.000000000,-0.026015146,0.168400198,2.782200336
1706875514.272780,2.000000000,1.000000000,-0.171899900,1.027999997,-0.576009668,-0.025152591,0.168304702,2.782200336,-0.171899901,1.027999997,3.629696264,-3.960281191,1.886548570,-5.079941368,4.057134959,-0.006360995,1.557830990,0.000000000,-43.960281191,-0.079941368,0.000000000,0.000000000,0.000000000,-0.133400364,-0.000000575,-0.000639684,-0.000013415,-0.000000099,-0.000000099,-0.000000052,0.000004600,-0.081523722,-0.000665265,0.000000099,0.105952485,0.000000099,0.000000052,-0.000000115,-0.008792056,-0.000079941,-0.000000089,-0.000000089,-0.000000047,-0.575677735,-0.026832993,0.000000000,0.168487201,3.007870525,-0.374687801,0.236686420,3.629696264,-3.960281191,-5.079941368,3.918525117,-0.133400364,1.557830990,-0.575852633,0.000000000,0.000000000,0.000000000,0.000000000,-0.025952736,0.168393478,2.782200336
