__time,/plot_data/data.0,/plot_data/data.1,/plot_data/data.10,/plot_data/data.11,/plot_data/data.12,/plot_data/data.13,/plot_data/data.14,/plot_data/data.15,/plot_data/data.16,/plot_data/data.17,/plot_data/data.18,/plot_data/data.19,/plot_data/data.2,/plot_data/data.20,/plot_data/data.21,/plot_data/data.22,/plot_data/data.23,/plot_data/data.24,/plot_data/data.25,/plot_data/data.26,/plot_data/data.27,/plot_data/data.28,/plot_data/data.29,/plot_data/data.3,/plot_data/data.30,/plot_data/data.31,/plot_data/data.32,/plot_data/data.33,/plot_data/data.34,/plot_data/data.35,/plot_data/data.36,/plot_data/data.37,/plot_data/data.38,/plot_data/data.39,/plot_data/data.4,/plot_data/data.40,/plot_data/data.41,/plot_data/data.42,/plot_data/data.43,/plot_data/data.44,/plot_data/data.45,/plot_data/data.46,/plot_data/data.47,/plot_data/data.48,/plot_data/data.49,/plot_data/data.5,/plot_data/data.50,/plot_data/data.51,/plot_data/data.52,/plot_data/data.53,/plot_data/data.54,/plot_data/data.55,/plot_data/data.56,/plot_data/data.57,/plot_data/data.58,/plot_data/data.59,/plot_data/data.6,/plot_data/data.60,/plot_data/data.61,/plot_data/data.62,/plot_data/data.63,/plot_data/data.7,/plot_data/data.8,/plot_data/data.9
1706876282.348634,6.000000000,2.000000000,-0.244696036,0.944672048,-0.681567306,-0.036559902,0.120367128,2.850095709,-0.244698548,0.944695828,7.478256541,10.430647973,-4.546897710,-10.978305355,-0.520648247,0.186592132,1.950212015,-2.521743459,0.430647973,-0.978305355,-0.847030744,0.000000000,7.382973481,-0.075146847,-0.000100436,0.000071836,-0.000030031,-0.001507104,-0.000000496,0.003626985,-0.004993269,0.000825378,-0.000474137,-0.015433511,-1.041090601,0.000000496,0.033287882,-0.000599763,0.000154374,-0.000077445,-0.003050455,-0.000000446,0.006955774,-0.654484252,-0.027703317,0.000000000,0.151596348,3.007876837,-0.374665534,0.236686623,7.478256541,10.430647973,-10.978305355,-3.847030744,-0.130587289,-0.617026519,-0.681575835,0.000000000,0.000000000,0.000000000,0.000000000,-0.036561996,0.120368950,2.850092411
1706876282.448836,6.000000000,2.000000000,-0.244696036,0.944672048,-0.681888655,-0.036588950,0.120362924,2.850058660,-0.244689248,0.943921435,7.515756922,10.412147979,-4.549295184,-10.979805294,-0.521798246,0.186092129,1.950611986,-2.484243078,0.412147979,-0.979805294,-0.849332597,0.000000000,7.370857374,-0.076959363,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.004968486,0.000824296,-0.000489903,-0.016986652,-1.055690783,-0.000000000,0.036854287,-0.000496849,0.000082430,-0.000048990,-0.001698665,0.000000000,0.003685429,-0.654484252,-0.027703317,0.000000000,0.151596348,3.007876837,-0.374665534,0.236686623,7.515756922,10.412147979,-10.979805294,-3.849332597,-0.132407380,-0.629142626,-0.681575835,0.000000000,0.000000000,0.000000000,0.000000000,-0.036561996,0.120368950,2.850092411
1706876282.548021,6.000000000,2.000000000,-0.244695872,0.944648206,-0.681759470,-0.036577974,0.120362459,2.850069081,-0.244686888,0.944272629,7.620765793,10.460660792,-4.555245727,-11.004801390,-0.519448298,0.187442165,1.917411971,-2.379234207,0.460660792,-1.004801390,-0.853689638,0.000000000,7.302103136,-0.079284638,-0.000019340,0.000004503,-0.000002480,-0.000095703,-0.000000533,0.000221087,-0.004748799,0.000919070,-0.000501161,-0.016978090,-1.130894347,0.000000533,0.036289429,-0.000494219,0.000096410,-0.000052596,-0.001793512,-0.000000479,0.003850030,-0.654484252,-0.027703317,0.000000000,0.151596348,3.007876837,-0.374665534,0.236686623,7.620765793,10.460660792,-11.004801390,-3.853689638,-0.134858885,-0.697896864,-0.681585789,0.000000000,0.000000000,0.000000000,0.000000000,-0.036562826,0.120368712,2.850091457
1706876282.648625,6.000000000,2.000000000,-0.244695246,0.944583476,-0.681775517,-0.036580118,0.120363595,2.850065877,-0.244684997,0.944230540,7.879293764,10.529703476,-4.552774596,-11.034789378,-0.507398466,0.192392273,1.848761961,-2.120706236,0.529703476,-1.034789378,-0.849306773,0.000000000,7.146174431,-0.083383009,-0.000051790,0.000013529,-0.000006563,-0.000264667,0.000000931,0.000599731,-0.004215517,0.001052642,-0.000514113,-0.016721469,-1.302955544,-0.000000931,0.035131141,-0.000473342,0.000118793,-0.000057974,-0.001936813,0.000000838,0.004112845,-0.654484252,-0.027703317,0.000000000,0.151596348,3.007876837,-0.374665534,0.236686623,7.879293764,10.529703476,-11.034789378,-3.849306773,-0.139108695,-0.853825569,-0.681612790,0.000000000,0.000000000,0.000000000,0.000000000,-0.036565170,0.120368227,2.850088358
1706876282.748662,6.000000000,2.000000000,-0.244693816,0.944540441,-0.681810600,-0.036584412,0.120365624,2.850059561,-0.244682307,0.944136889,8.387810464,10.421253697,-4.488417125,-10.880280818,-0.501048677,0.209192338,1.768412000,-1.612189536,0.421253697,-0.880280818,-0.794799222,0.000000000,6.895383401,-0.084381028,-0.000060892,0.000009924,-0.000005899,-0.000188488,-0.000000591,0.000395800,-0.003193933,0.000837546,-0.000437191,-0.015707497,-1.586712185,0.000000591,0.034081117,-0.000380286,0.000093678,-0.000049618,-0.001759238,-0.000000532,0.003803912,-0.654484252,-0.027703317,0.000000000,0.151596348,3.007876837,-0.374665534,0.236686623,8.387810464,10.421253697,-10.880280818,-3.794799222,-0.139326446,-1.104616599,-0.681633294,0.000000000,0.000000000,0.000000000,0.000000000,-0.036567044,0.120367505,2.850085497
1706876282.929079,6.000000000,2.000000000,-0.244690850,0.944419324,-0.681810554,-0.036582745,0.120365809,2.850061066,-0.244683936,0.944128045,9.093358660,10.106871518,-4.366561552,-10.540757249,-0.503999156,0.237592526,1.662312070,-0.906641340,0.106871518,-0.540757249,-0.694588277,0.000000000,6.553630520,-0.080675027,-0.000113304,0.000027898,-0.000014974,-0.000516939,-0.000000865,0.001116990,-0.001756631,0.000199794,-0.000262891,-0.013374827,-1.975031394,0.000000865,0.031651163,-0.000288967,0.000047877,-0.000041264,-0.001854422,-0.000000778,0.004282106,-0.654484252,-0.027703317,0.000000000,0.151596348,3.007876837,-0.374665534,0.236686623,9.093358660,10.106871518,-10.540757249,-3.694588277,-0.133905852,-1.446369480,-0.681685507,0.000000000,0.000000000,0.000000000,0.000000000,-0.036571715,0.120366998,2.850078344
1706876282.950535,6.000000000,2.000000000,-0.244690850,0.944419324,-0.681870695,-0.036582788,0.120364798,2.850059126,-0.244688249,0.943957720,9.168858767,10.032871541,-4.348051441,-10.478756974,-0.507699156,0.241992526,1.650012079,-0.831141233,0.032871541,-0.478756974,-0.680030684,0.000000000,6.516317318,-0.078917531,0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,-0.001662282,0.000065743,-0.000239378,-0.013600614,-2.017531427,-0.000000000,0.032581587,-0.000166228,0.000006574,-0.000023938,-0.001360061,0.000000000,0.003258159,-0.654484252,-0.027703317,0.000000000,0.151596348,3.007876837,-0.374665534,0.236686623,9.168858767,10.032871541,-10.478756974,-3.680030684,-0.131835254,-1.483682682,-0.681685507,0.000000000,0.000000000,0.000000000,0.000000000,-0.036571715,0.120366998,2.850078344
1706876283.048687,6.000000000,2.000000000,-0.244689599,0.944365323,-0.681820872,-0.036576864,0.120364947,2.850067014,-0.244692364,0.944069180,9.129380337,9.677422119,-4.304488457,-10.271747175,-0.534499362,0.241992614,1.598712102,-0.870619663,-0.322577881,-0.271747175,-0.649664575,0.000000000,6.480086982,-0.077535698,-0.000048938,0.000011966,-0.000006562,-0.000229376,-0.000000538,0.000498230,-0.001716770,-0.000651139,-0.000132593,-0.012763916,-2.053040033,0.000000538,0.031902205,-0.000220615,-0.000053148,-0.000019821,-0.001505767,-0.000000484,0.003688450,-0.654484252,-0.027703317,0.000000000,0.151596348,3.007876837,-0.374665534,0.236686623,9.129380337,9.677422119,-10.271747175,-3.649664575,-0.129408021,-1.519913018,-0.681708634,0.000000000,0.000000000,0.000000000,0.000000000,-0.036573738,0.120366782,2.850075245
1706876283.148785,6.000000000,2.000000000,-0.244689763,0.944358945,-0.681864858,-0.036574134,0.120361379,2.850064683,-0.244693576,0.943969636,8.698884778,9.350922799,-4.255165256,-10.038245476,-0.567149364,0.227692631,1.571612078,-1.301115222,-0.649077201,-0.038245476,-0.615227107,0.000000000,6.599389911,-0.076768336,-0.000000324,-0.000000595,0.000000371,-0.000024076,0.000001146,0.000059738,-0.002602068,-0.001297857,-0.000019308,-0.012280466,-1.907941833,-0.000001146,0.032937212,-0.000260531,-0.000130381,-0.000001560,-0.001252122,0.000001031,0.003353459,-0.654484252,-0.027703317,0.000000000,0.151596348,3.007876837,-0.374665534,0.236686623,8.698884778,9.350922799,-10.038245476,-3.615227107,-0.127461476,-1.400610089,-0.681710839,0.000000000,0.000000000,0.000000000,0.000000000,-0.036573734,0.120366737,2.850075006
1706876283.248782,6.000000000,2.000000000,-0.244690612,0.944292307,-0.681857221,-0.036567396,0.120354239,2.850072962,-0.244701396,0.944001675,8.488910109,8.805428163,-4.163103021,-9.666734107,-0.604599364,0.218992736,1.540612025,-1.511089891,-1.194571837,0.333265893,-0.546848721,0.000000000,6.641748589,-0.078119118,-0.000034499,-0.000010380,-0.000003511,-0.000249907,-0.000001381,0.000621693,-0.003004930,-0.002383954,0.000168388,-0.010687068,-1.854952019,0.000001381,0.032587050,-0.000334992,-0.000248775,0.000013328,-0.001318613,-0.000001243,0.003880398,-0.654484252,-0.027703317,0.000000000,0.151596348,3.007876837,-0.374665534,0.236686623,8.488910109,8.805428163,-9.666734107,-3.546848721,-0.126936125,-1.358251411,-0.681736887,0.000000000,0.000000000,0.000000000,0.000000000,-0.036573656,0.120365821,2.850073576
